ID,n_points_used,r_min,r_max,v_max,model_chosen,delta_BIC,delta_BIC_raw,delta_BIC_chi,bic_status,s_frac,chi2_red,R2,AIC,AICc,BIC,Qexp,ring_A,ring_r,ring_sigma,DW,rho_AR1,BP_pvalue,conservative_sigma,resid_ar1_flagged,rmse_holdout,mae_holdout,r2_holdout,delta_rmse_in,delta_rmse_holdout,bound_hits_chosen,bound_hits_f7,bound_hits_f10,fit_status
amB,9,0.16,1.79,20.1,EGR-10,-121.86021662545485,-121.86021662545485,-9051.455379506304,F7_fallback,0.0,0.017429862748249446,0.9998573971139081,-28.922781895504862,-28.922781895504862,-26.950536122142665,9.864434922906984,0.7401057333291624,1.0835994675463745,0.2506665139852997,3.0215161749450425,-0.542832015858531,0.2768420693365674,True,True,nan,nan,nan,-82.88778742953696,nan,4,0,4,OK
512-2,4,nan,nan,nan,NA,nan,nan,nan,both_fail,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,0,0,0,too_few_points
564-8,6,0.51,3.07,25.0,EGR-10,-70.3367538260041,-70.3367538260041,-441.50430724378424,F7_fallback,0.0,0.017605587394444833,0.999658338890425,-7.01341376659909,-7.01341376659909,-9.095819074318541,10.208747838556665,1.031786145588779,1.4031612910958924,0.304382152865313,2.440468443285569,-0.8092685978162835,0.0485410794494034,True,True,nan,nan,nan,-57.76400976624845,nan,3,0,2,OK
631-7,16,0.45,7.19,58.5,EGR-10,-149.0152963818728,-149.0152963818728,-1066.8604831227983,F7_fallback,0.0,0.177993424534196,0.9988541909057498,-1.277563603082534,42.722436396917466,6.448323619315278,10.79475573120522,6.528382264466805,5.851348532132498,1.2054929510966053,1.2889071969487624,0.09761792692476359,0.0343845990353394,True,False,nan,nan,nan,-69.71286176138676,nan,1,0,1,OK
DO064,14,0.1,2.98,46.9,EGR-10,-111.87379494702378,-111.87379494702378,-1216.2516316495012,F7_fallback,0.0,0.16739319934502964,0.9946649194601281,21.09051644096299,94.42384977429631,27.481089737115575,23.49007269014179,11.4413215105,1.7512076257312645,0.42501073101616366,2.1597767983740845,-0.15340441230146032,0.07376716696542428,True,False,nan,nan,nan,-73.9383877674967,nan,1,0,1,OK
DO154,12,0.49,5.92,48.2,EGR-10,-116.72796417672772,-116.72796417672772,-357.66999096444704,F7_fallback,0.0062255859375,1.000082827850081,0.9989983445820639,-5.6233327123559285,214.37666728764407,-0.7742662144759258,5.903679855825739,10.155051536473431,4.528119114388874,2.102740889378883,2.2506818345720303,-0.3169516578525261,0.11047472482994988,False,True,nan,nan,nan,-65.11858028137914,nan,1,0,1,OK
DO161,31,0.6,13.37,67.5,EGR-10,-284.64323393310787,-284.64323393310787,-1038.384763805405,F7_fallback,0.0,0.1555698747155139,0.9978464733139597,6.827719980153651,17.827719980153653,21.167592025005113,3.7060895379779333,35.5635764550254,11.698859416988185,6.723378492484124,1.06871265587705,0.465129096702731,0.04627793635183815,True,True,nan,nan,nan,-93.32569363742316,nan,2,0,1,OK
DO168,10,0.41,4.12,55.0,EGR-10,-73.45559809843118,-73.45559809843118,-215.18253671349777,F7_fallback,0.04497680664062501,0.9999950332561925,0.9954064550808279,18.78126816626859,18.78126816626859,21.80711909620905,10.256151857092453,10.637707084309096,2.7710362373238784,0.7351606444235014,2.881988821535637,-0.5042738369463392,0.3935469727253387,False,True,nan,nan,nan,-57.82322515210367,nan,1,0,1,OK
DO170,8,1.87,12.33,62.2,EGR-10,-75.42868077354125,-75.42868077354125,-59.57785503079742,F7_fallback,0.011212158203125001,1.0000607996027202,0.9984483993392854,6.518450663370876,6.518450663370876,7.3128660801692345,12.230423520441704,13.167384583508571,4.281105028378122,2.953195367945845,3.2844924863695777,-0.6496773056809317,0.8768224195817655,False,True,nan,nan,nan,-71.08015085335592,nan,2,0,2,OK
SO079-G014,15,0.41,16.67,178.0,EGR-10,-89.92476955597273,-89.92476955597273,-70.85427945767881,F7_fallback,0.0,0.387042259484741,0.9964844428881492,52.34844144152514,107.34844144152514,59.428943452547244,367.7776770367217,25.221359379301997,8.524063279563515,4.989978210167695,2.544524847580019,-0.28865097490622005,0.13229754362931886,True,False,nan,nan,nan,-74.27438779271354,nan,0,0,0,OK
SO116-G012,15,0.25,9.86,112.0,EGR-10,-97.94758770228073,-97.94758770228073,-183.6443306734067,F7_fallback,0.0,0.7851064970512199,0.9950210476522803,40.69308762812905,95.69308762812905,47.773589639151155,62.296618160433525,4.825027427445768,5.349732030142249,0.8527096527815372,2.7124952978389194,-0.3599265753209747,0.35182630156844097,True,True,nan,nan,nan,-66.4137912117331,nan,1,0,1,OK
SO444-G084,7,0.26,4.44,63.1,EGR-10,-60.95255048779852,-60.95255048779852,-179.21723091173322,F7_fallback,0.0,0.14755718111228966,0.9983866182407394,13.060545653734284,13.060545653734284,12.519647144287415,21.91110466364321,7.349034414512018,3.637581163237091,1.1968023722123633,2.994957677769283,-0.5026057321156819,0.577080461985691,True,True,nan,nan,nan,-71.27099441100181,nan,2,0,2,OK
SO563-G021,30,0.45,42.41,321.0,EGR-10,-141.7191242246554,-141.7191242246554,-157.8311510129325,F7_fallback,0.040856933593750006,1.0000391426556887,0.988729664331278,153.91796226221177,165.4969096306328,167.92993607883332,117.16854776139263,65.19302593328861,9.503965805083816,3.326278185250156,1.3238544571312862,0.3349138342378575,0.19272374724876706,False,True,nan,nan,nan,-102.93063187103519,nan,1,0,1,OK
561-1,6,1.61,9.66,50.4,EGR-10,-51.570964842565836,-51.570964842565836,-51.224254902915675,F7_fallback,0.0,0.04736937065717983,0.9960936507372611,13.769523649961657,13.769523649961657,11.687118342242206,46.64305723300527,4.743770926225452,3.7798743285683525,0.4830000000908132,1.3805740819287355,0.0013770381427492993,0.3201098733953972,True,False,nan,nan,nan,-67.86875765138605,nan,4,0,4,OK
563-1,17,1.07,20.1,112.5,EGR-10,-107.46634024373137,-107.46634024373137,-149.83243421423737,F7_fallback,0.0,0.11444819937359271,0.9889703614841988,52.887386958224894,89.55405362489157,61.219520398787054,368.77256993577225,44.12353272843622,4.174861940746893,1.109387627628452,1.9009058067180833,-0.34299164495398504,0.13899006513471476,True,True,nan,nan,nan,-77.05044020980685,nan,3,0,2,OK
563-V1,6,1.31,7.87,29.5,EGR-10,-66.59066381104007,-66.59066381104007,-235.82433601968427,F7_fallback,0.0,0.008589667351801895,0.999068237789161,0.01952652111303621,0.01952652111303621,-2.062878786606415,12.862431411658328,9.455701596204019,3.9714425827030304,1.9080323530890257,3.649890135216633,-0.8835155085236349,0.3446792883282783,True,True,nan,nan,nan,-75.916456567838,nan,1,0,2,OK
563-V2,10,0.28,10.47,118.0,EGR-10,-86.1400445711921,-86.1400445711921,-323.144781186916,F7_fallback,0.0,0.009994479951459252,0.9995225797246206,15.692410564874695,15.692410564874695,18.718261494815156,107.13154033582315,31.39225732374928,3.235113586097052,1.1584912305119457,1.7021160494860166,0.04188807661226624,0.024682969894783597,True,False,nan,nan,nan,-83.71636341029316,nan,2,0,1,OK
565-V2,7,1.26,8.8,83.1,EGR-10,-94.74480210040821,-94.74480210040821,-55.32965060138714,F7_fallback,0.0,0.00023307633127092863,0.9999954123263045,-23.647300316041807,-23.647300316041807,-24.188198825488676,199.83077650769104,5.221917429620116,4.455863120699052,1.107814218728562,2.676193313770437,-0.6048193897996874,0.5339558520782174,True,True,nan,nan,nan,-58.325595620410766,nan,2,0,2,OK
567-2,5,1.92,9.59,52.2,EGR-10,-285.1171258199178,-285.1171258199178,-33.5577363076463,F7_fallback,0.0,8.551678914716923e-22,1.0,-211.5130618730005,-211.5130618730005,-215.4186827486595,40.79915553867255,16.19094859401698,3.641041847069929,1.6627591725167266,2.321328049970039,-0.34570036492546774,0.025347318680359457,True,True,nan,nan,nan,-64.93850823441761,nan,2,0,2,OK
568-1,12,0.44,13.23,142.0,EGR-10,-105.27595025500166,-105.27595025500166,-191.81243477580645,F7_fallback,0.0,0.009494747072953096,0.9996932653593249,9.824025041395066,229.82402504139506,14.673091539275068,95.67760586888541,16.46192073476862,3.7534173044845303,1.8060379404546836,1.826073811963699,-0.3894794119800925,0.0546838210730808,True,True,nan,nan,nan,-71.08989481398203,nan,2,0,2,OK
568-3,18,0.64,17.98,120.0,EGR-10,-126.38242591467746,-126.38242591467746,-449.17702153266004,F7_fallback,0.0,0.08537107799846816,0.9954174104264544,46.91979257625658,78.34836400482801,55.82351015521823,46.0595064491957,22.73397801509094,4.536092124460595,1.6315511733986936,2.0324922599460016,-0.023476343935904188,0.6315188054462,True,False,nan,nan,nan,-87.83786348554919,nan,2,0,2,OK
568-V1,15,0.39,17.63,118.0,EGR-10,-97.12203453358939,-97.12203453358939,-42.0779682953996,F7_fallback,0.0,0.07303579839222564,0.9941022823603974,43.206208779585566,98.20620877958557,50.28671079060767,69.60018826559826,13.400322615813625,3.2982994431012296,3.1446666060201554,1.5805462183441858,0.13027644260765625,0.6231563500018071,True,False,nan,nan,nan,-70.24701760833393,nan,1,0,1,OK
571-8,13,0.22,15.55,144.0,EGR-10,-74.31496271391568,-74.31496271391568,-372.08894819105217,F7_fallback,0.050537109375,1.0000962577777293,0.9931698200567879,50.65718193963213,160.65718193963212,56.3066755142475,33.637912296966086,62.75697695650607,13.553805459238731,7.028498855177866,1.835578842477887,-0.02414562905818325,0.05438854750264308,False,False,nan,nan,nan,-80.31799505425546,nan,1,0,0,OK
571-V1,7,1.95,13.59,84.3,EGR-10,-50.858972806396466,-50.858972806396466,-29.986396045617973,F7_fallback,0.0,0.12768351818985182,0.9959269751628165,21.731894794223308,21.731894794223308,21.19099628477644,170.96847814840766,4.334112479092282,7.942469066608203,4.10052008225141,2.3471750035117394,-0.36295343088971616,0.021912705153538006,True,True,nan,nan,nan,-63.809229854578874,nan,3,0,3,OK
574-1,14,0.47,12.6,99.7,EGR-10,-159.50786058450038,-159.50786058450038,-293.54269977098977,F7_fallback,0.0,0.0045679952603210035,0.9999502670721223,-29.303936938622357,44.02939639471097,-22.913363642469772,445.96155766599855,7.9964120607002975,3.143088662387725,1.5540323939192215,2.726073261359338,-0.413959533253975,0.13566612915937684,True,True,nan,nan,nan,-67.76715896204156,nan,1,0,1,OK
574-2,5,2.17,10.83,40.0,EGR-10,-60.89442244670013,-60.89442244670013,-130.4915862604826,F7_fallback,0.0,0.0011237497142939233,0.9998481573163964,-1.2081951600850829,-1.2081951600850829,-5.11381603574408,57.25419543572401,0.937679895459249,3.6709730001515983,0.5415097556611861,3.198604381207903,-0.7846062063321441,0.21552302821892919,True,True,nan,nan,nan,-85.63159778391278,nan,4,0,4,OK
579-V1,14,0.42,15.16,114.0,EGR-10,-109.12661511870581,-109.12661511870581,-40.38273695366642,F7_fallback,0.0,0.020226204911207434,0.9980424462172753,16.51411910074064,89.84745243407397,22.904692396893225,329.77570660482996,26.7362720002979,1.5296046634817575,1.1481397919394694,1.7321590264886124,0.12034371826763447,0.32109353362409254,True,False,nan,nan,nan,-56.83946788484149,nan,1,0,2,OK
583-1,25,0.26,16.26,86.9,EGR-10,-182.21219612864343,-182.21219612864343,-1200.1166601356445,F7_fallback,0.0,0.14758079166144217,0.9914541298875147,60.75086281425387,76.46514852853959,72.93962106293588,23.092168013227738,3.2176153394774074,4.441173091625986,1.664569487425446,1.8570899064615227,-0.0345746812679443,0.18894185819652826,True,False,nan,nan,nan,-102.56753243172817,nan,3,0,3,OK
583-4,12,0.22,7.29,69.9,EGR-10,-96.27535708146395,-96.27535708146395,-547.5615116972809,F7_fallback,0.0,0.3577697800085606,0.9968291859479034,19.762678258059964,239.76267825805996,24.611744755939966,14.837819801704724,10.911618836455412,1.395218492074279,0.5120433056950885,2.6054501139464814,-0.4116871159155566,0.10929119738894211,True,True,nan,nan,nan,-75.84445296778858,nan,1,0,1,OK
C2574,34,0.85,10.23,67.5,EGR-10,-229.99001267413195,-229.99001267413195,-1323.6197660022724,F7_fallback,0.009796142578125002,1.0000460191147071,0.9827705749709579,72.30117158828845,81.8663889795928,87.56477683445007,8.64252332650784,15.067667768145887,9.299774227548518,1.796672442272657,1.5426164243684313,0.22476586301108428,0.11772415488920453,False,False,nan,nan,nan,-72.77144881173476,nan,1,0,2,OK
C4202,32,0.77,25.9,250.0,EGR-10,-153.50112967851427,-153.50112967851427,-35.45161263893644,F7_fallback,0.03297119140625,0.999983541668337,0.9843165980811006,138.7809262684786,149.25711674466908,153.43828529647587,469.07464190112836,25.557061228976384,6.4734669236309985,2.7152531755453837,0.784279510150473,0.4974104072884924,0.393260077120304,False,True,nan,nan,nan,-76.25877459898676,nan,1,0,1,OK
K98-251,15,0.25,3.13,34.6,EGR-10,-148.23546252492494,-148.23546252492494,-3290.2304080678573,F7_fallback,0.0,0.11002024022631882,0.9985473071493319,-8.791132834101976,46.20886716589803,-1.7106308230798746,17.426474900596595,5.144870206342738,2.1159001526229013,0.4052252968772802,2.279973680166453,-0.20725351269793513,0.08128666157837293,True,False,nan,nan,nan,-69.8826035098896,nan,1,0,2,OK
GC0024,29,0.21,11.27,110.0,EGR-10,-189.60348349257316,-189.60348349257316,-320.71440005122264,F7_fallback,0.0,0.28620840099544637,0.990190438554365,72.88938158397255,85.11160380619478,86.5623398838373,418.11217895863615,5.9627052346701115,3.1700866901479174,0.9701617234334315,0.8050454771702463,0.5381164265573223,0.5675322637485525,True,True,nan,nan,nan,-75.38446166827761,nan,1,0,1,OK
GC0055,21,1.23,13.5,87.4,EGR-10,-167.58937703179254,-167.58937703179254,-104.72275478221076,F7_fallback,0.0,0.16071752439933337,0.9972338859282672,17.458222123511703,39.4582221235117,27.903446500745932,105.39558277031306,26.168065786235893,5.858641171889548,4.5264776258279875,1.7643972257012617,0.1109733773885163,0.29529961156522255,True,False,nan,nan,nan,-62.314754403331165,nan,1,0,1,OK
GC0100,21,0.23,9.62,91.2,EGR-10,-166.7677756829725,-166.7677756829725,-620.7922498265731,F7_fallback,0.0,0.103262660520951,0.9961347911988773,36.08189295128888,58.08189295128888,46.52711732852311,34.55749961006104,2.7319979212441328,4.067708019964371,0.5125455078556733,0.7695505767339704,0.6089363380948867,0.015307532879764376,True,True,nan,nan,nan,-70.26128006140088,nan,3,0,2,OK
GC0247,26,1.08,14.54,108.0,EGR-10,-201.6533252659923,-201.6533252659923,-70.09786564147339,F7_fallback,0.0,0.0503816764750769,0.9975099043747142,19.12966124662245,33.79632791328912,31.71062662683727,50.1504374159725,20.02418519448214,2.280354450765723,1.4260303008416721,1.4885078481581484,0.2393785631475832,0.031837368831506584,True,False,nan,nan,nan,-56.366905164213996,nan,2,0,2,OK
GC0289,28,1.5,71.12,194.0,EGR-10,-108.86405307961317,-108.86405307961317,6.996583493686714,F7_fallback,0.01280517578125,0.9999520838185093,0.4292983145711191,130.38921505687387,143.3303915274621,143.7112601586259,262.0344906592228,25.430555581638643,42.10905579777843,9.446293837137201,1.0459474741876245,0.46688662888445837,0.0032628738438271305,False,True,nan,nan,nan,-55.34537900557333,nan,1,0,1,OK
GC0300,25,0.91,11.8,97.0,EGR-10,-142.18636635815045,-142.18636635815045,-61.10102164442935,F7_fallback,0.0,0.37328548301785236,0.9763036251842252,66.16071935305766,81.87500506734337,78.34947760173966,59.01851365341224,6.873528585024517,9.824864035244245,0.8479110075222095,1.1770024901446017,0.39858983498463046,0.2704893179639688,True,True,nan,nan,nan,-49.943890269412734,nan,1,0,1,OK
GC0801,13,1.17,59.82,238.0,EGR-10,-26.73605953014703,-26.73605953014703,4.695004120032934,F7_fallback,0.09536132812499999,0.9999871390497685,0.9131366141759435,79.22187156343374,189.22187156343375,84.8713651380491,546.9955449406453,78.19041727402774,4.712519453474426,2.991000000000008,2.067663825837492,-0.03687231187231089,0.16839836390767937,False,False,nan,nan,nan,-28.799229363551778,nan,3,0,2,OK
GC0891,18,0.92,17.11,234.0,EGR-10,-101.52269754680218,-101.52269754680218,2.691109128417004,F7_fallback,0.0,0.6274060111869463,0.8285543469875791,68.3707344682565,99.79930589682793,77.27445204721815,1113.2369050596571,36.54535920644911,8.672546485306064,7.473858449288667,1.7552221480072312,0.12193755686953806,0.11525255889067172,True,False,nan,nan,nan,-77.99182268260338,nan,1,0,2,OK
GC1003,36,1.25,30.24,115.0,EGR-10,-256.69084950702756,-256.69084950702756,-66.19188513581814,F7_fallback,0.0,0.5246817134284947,0.9805303040474189,72.56108299957023,81.36108299957023,88.39627238413134,461.67234028398804,20.892647213784826,6.827480154067087,2.6220117671675647,1.3019133272922017,0.3141974753738785,0.13109957064764832,True,True,nan,nan,nan,-83.08106484730713,nan,0,0,0,OK
GC1090,24,0.35,30.09,176.0,EGR-10,-115.56652493573789,-115.56652493573789,-126.3643918698823,F7_fallback,0.0,0.9259332714462909,0.98601017180962,92.48404133411398,109.4071182571909,104.26457963759344,171.67935082223218,12.796699213009791,9.097854237346393,3.698689171535039,1.8436478365170987,-0.04471941832259193,0.023975796215948628,False,False,nan,nan,nan,-56.809807063315674,nan,1,0,1,OK
GC1705,14,0.22,6.0,73.2,EGR-10,-116.73703136840054,-116.73703136840054,-16.42088054759968,F7_fallback,0.0,0.03547697672882884,0.9905288259943742,4.8088481000851395,78.14218143341847,11.199421396237724,135.49693297650205,16.00549476266066,0.6810235532376604,1.0825021654803708,3.17750324796372,-0.5964090692018085,0.049460436608845186,True,True,nan,nan,nan,-49.287550032664626,nan,0,0,0,OK
GC2366,26,0.12,6.06,53.7,EGR-10,-220.8588001962235,-220.8588001962235,-3319.3125062706054,F7_fallback,0.0,0.3012109315257676,0.9962366397505513,13.827682159331115,28.494348825997783,26.408647539545935,7.55743632819297,9.41244402152785,3.007714798619639,1.5130393725460638,1.3546429972496439,0.322326730897456,0.4104768581957453,True,True,nan,nan,nan,-74.04224387069928,nan,2,0,2,OK
GC2403,73,0.16,20.87,136.0,EGR-10,-379.4347330328577,-379.4347330328577,-253.52745475887505,F7_fallback,0.031646728515625,1.0000201937735589,0.9790979520476034,214.8692629798842,218.41765007665842,237.77385739136813,528.9411240054288,50.01156101992426,16.15635784462664,10.111902800637862,0.19182262293777452,0.8882402260112854,0.09059943951686077,False,True,nan,nan,nan,-69.55554813097692,nan,1,0,0,OK
GC2683,11,2.89,34.62,212.0,EGR-10,-23.870266896189378,-23.870266896189378,4.193657324556806,F7_fallback,0.12392578125,0.9999019603346484,0.8890243148943057,63.49833441967456,63.49833441967456,67.47728714765827,253.02712165837136,49.23831277484078,3.514800066878791,9.242020484338585,2.974527027190944,-0.4972915557610062,0.9835643216737958,False,True,nan,nan,nan,-22.911308559505947,nan,0,0,0,OK
GC2841,50,3.44,63.64,323.0,EGR-10,-307.7951207681714,-307.7951207681714,-9.967803223018791,F7_fallback,0.0,0.5324432756326802,0.9648639752738721,134.4349863463424,140.07601198736805,153.55521640062386,1187.1103277328739,24.798425503918377,63.0625198325067,8.99789540208149,0.8919971648701658,0.5477746152137387,0.7560683605260378,True,True,nan,nan,nan,-73.54118409624085,nan,2,0,2,OK
GC2903,34,0.32,24.96,216.0,EGR-10,-94.46016377308081,-94.46016377308081,-10.909593560932592,F7_fallback,0.101708984375,1.000018576781966,0.9437152166154087,168.15661175124225,177.7218291425466,183.42021699740388,344.53546199179965,26.10027979920589,3.095364885147461,1.288551813083545,0.6657186568115782,0.4557329373663103,0.07441261780561237,False,True,nan,nan,nan,-42.882999460805486,nan,2,0,2,OK
GC2915,30,0.34,10.04,86.5,EGR-10,-188.3482706864724,-188.3482706864724,-258.496905824609,F7_fallback,0.0,0.10841656367205976,0.9846291735739102,67.29579998201424,78.8747473504353,81.30777379863581,318.28507610068345,28.74378436268913,2.6596698720792538,1.495574628883266,1.3436340948283818,0.2922031675003027,0.05139340090216187,True,False,nan,nan,nan,-57.98800614709355,nan,1,0,1,OK
GC2955,24,0.75,35.43,276.0,EGR-10,-104.6400594092759,-104.6400594092759,6.5346097455223955,F7_fallback,0.022326660156250004,1.0000550371962422,0.9155426513774391,113.71609692196428,130.6391738450412,125.49663522544374,516.8951553712407,53.04511493909319,18.69880307824826,8.190779862916111,1.6949554128163247,0.1513978473568361,0.14577286286549193,False,False,nan,nan,nan,-69.49148833134365,nan,0,0,0,OK
GC2976,27,0.11,2.27,88.7,EGR-10,-193.81601124253638,-193.81601124253638,-1806.4807764697273,F7_fallback,0.0,0.3890942557467606,0.995158494192702,49.31417995918357,63.06417995918357,62.27254861922686,133.30411873098717,11.545672502889893,1.6900452130965562,0.38590182433583153,1.1288325802239099,0.4352095907451449,0.8008197983449381,True,True,nan,nan,nan,-73.10351001372432,nan,2,0,2,OK
GC2998,13,0.33,42.28,214.0,EGR-10,-54.89146210317777,-54.89146210317777,4.444521573407318,F7_fallback,0.0,0.9204497664912119,0.9855616799855657,60.14314346094872,170.14314346094872,65.79263703556408,565.8770861793238,46.19579419719923,32.61123236035813,17.557918088516406,2.8041315514665826,-0.42024161267315213,0.10191015028735609,False,True,nan,nan,nan,-47.31106389488711,nan,1,0,1,OK
GC3109,25,0.26,6.45,67.3,EGR-10,-208.94152101235474,-208.94152101235474,-2602.5038755478195,F7_fallback,0.0,0.12577441840436698,0.9976644505029245,14.362317170210527,30.07660288449624,26.551075418892534,22.54683539839799,2.9993304197907285,2.0696515811389813,0.34440433562685274,1.4019680441327629,0.2819483406468691,0.7465609877360064,True,False,nan,nan,nan,-69.86100069693306,nan,4,0,4,OK
GC3198,43,0.32,44.08,157.0,EGR-10,-302.78117567162417,-302.78117567162417,-115.48993070363755,F7_fallback,0.0,0.46049065440488635,0.995614356852451,93.17462876383127,100.04962876383127,110.7866299207669,466.98751567967963,13.510454903018587,6.599807637754362,8.40717021858069,0.8837991486911715,0.5582298543892624,0.08185640877306065,True,True,nan,nan,nan,-87.9283917989795,nan,1,0,1,OK
